orden_ing,suborden,renglon,destino,dia,hora,observa,conocim2,Estado,id,cliente,tipo_oper,fecha_ing,contenedor,desc_merc,conocim1,dimension,tipo_cnt,volumen,Envase,fecha_egr,cantidad,bookings,kilos,precinto,salida_validada,salida_vacio_validada,fechaverif,ubicacion
31741,1,1,Consolidado,2024-11-06,9:00 ,,BUE400157200        ,Pendiente,31741-1-1,Borax Arge...,Exportacion,2024-11-04,PCIU-464848-1,Vacio,  : 0                         ,40,DR,60.00,Contenedor,,32,BUE400157200        ,26878.00,******************* ,,,,EA3
31742,1,1,Consolidado,2024-11-06,9:00 ,,BUE400157200        ,Pendiente,31742-1-1,Borax Arge...,Exportacion,2024-11-04,PCIU-456582-8,Vacio,  : 0                         ,40,DR,60.00,Contenedor,,32,BUE400157200        ,26878.00,*****************   ,,,,EA3
31765,1,1,Consolidado,2024-11-06,9:00 ,,63645644            ,Pendiente,31765-1-1,Suabia Mad...,Exportacion,2024-11-05,HLBU-143349-0,Vacio,  : 0                         ,40,HC,60.00,Contenedor,,38,63645644            ,26360.00,********************,,,,EA3
31719,1,1,Consolidado,2024-11-06,9:00 ,,340400037806        ,Pendiente,31719-1-1,Isischu Sr...,Exportacion,2024-11-01,DRYU-990197-5,Vacio,  : 0                         ,40,HC,60.00,Contenedor,,16,340400037806        ,26880.00,*************       ,,,,EA9
31720,1,1,Consolidado,2024-11-06,9:00 ,,340400037806        ,Pendiente,31720-1-1,Isischu Sr...,Exportacion,2024-11-01,TIIU-461002-7,Vacio,  : 0                         ,40,HC,60.00,Contenedor,,16,340400037806        ,26880.00,**********          ,,,,EA9
31768,1,1,Consolidado,2024-11-06,9:30 ,,245841324           ,Pendiente,31768-1-1,Leterago S...,Exportacion,2024-11-01,MSKU-145004-0,Vacio,  : 0                         ,40,HC,60.00,Contenedor,,52,245841324           ,23760.00,********************,,,,EA8
